Designator,Footprint,Quantity,Value,LCSC Part #
C101,0805,1,4u7,C1779
"C102, C103, C104, C105, C106, C107, C108, C109, C110",0603,9,100n,C14663
"C111, C112, C113, C114",0805,4,2u2,C377773
D101,0603,1,GREEN,C434423
D102,0603,1,RED,C2286
D103,0603,1,BLUE,C965807
"D104, D105, D106",D_SMA,3,SS14,C2480
F101,FUSE-Littelfuse_Nano2_154x,1,Fuse,C206919
J101,USBC_HRO_TYPE-C-31-M-12,1,USB_C,C165948
"R101, R102, R103, R110",0603,4,10k,C25804
"R104, R111",0603,2,1k,C25804
"R105, R106, R107",0603,3,200,C8218
"R108, R109",0603,2,5k1,C23186
"RV101, RV102",RV_Bourns_3362,2,10k,C58159
SG101,Small-General Actual,1,~,-
"SW101, SW102, SW103",PushBtn_TS-1187A-B-A-B,3,SW_Push,C318884
"TP101, TP102, TP103",TestPoint_Pad_2.5x2.5mm,3,TestPoint,-
U101,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBTx,C81720
U102,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1042T-3,C132227
U103,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U104,SOT-223-3_TabPin2,1,AMS1117-5.0,C6187
