Designator,Mid X,Mid Y,Rotation,Layer
C101,148.6,-116.8,90.0,top
C102,134.65,-116.8,90.0,top
C103,129.95,-128.35,180.0,top
C104,144.45,-132.65,270.0,top
C105,146.5,-116.8,90.0,top
C106,136.5,-116.8,90.0,top
C107,128.15,-114.05,270.0,top
C108,124.725,-110.35,0.0,top
C109,125.2,-104.5,90.0,top
C110,156.65,-138.5,0.0,top
C111,123.500001,-137.15,270.0,top
C112,121.2,-137.15,270.0,top
C113,167.35,-118.94,180.0,top
C114,167.35,-116.64,180.0,top
D101,154.75,-133.337501,270.0,top
D102,152.195,-133.337501,270.0,top
D103,149.545,-133.337501,270.0,top
D104,166.6,-138.2,0.0,top
D105,104.2,-109.8,180.0,top
D106,114.5,-109.8,0.0,top
F101,108.5,-104.8,0.0,top
J101,177.0,-133.0,90.0,top
R101,128.6,-117.2,0.0,top
R102,133.0,-104.5,90.0,top
R103,156.65,-140.15,180.0,top
R104,156.65,-141.8,0.0,top
R105,154.745,-129.942501,90.0,top
R106,152.195,-129.9425,90.0,top
R107,149.545,-129.9425,90.0,top
R108,173.311396,-124.5,180.0,top
R109,173.311396,-126.41,180.0,top
R110,160.8,-140.4,180.0,top
R111,160.8,-142.1,0.0,top
RV101,129.9,-121.97,0.0,top
RV102,130.2,-134.58,0.0,top
SG101,140.0,-125.0,0.0,top
SW101,129.4,-104.5,270.0,top
SW102,121.100001,-104.5,270.0,top
SW103,159.8,-146.15,0.0,top
U101,140.0,-125.0,270.0,top
U102,122.5,-114.097315,90.0,top
U103,121.2,-130.650001,270.0,top
U104,173.95,-116.65,180.0,top
